Index,PDSI,Acres,LargeFire=1
735,2.48,228.7,1
736,2.48,721.1,1
737,3.6,373.2,1
738,3.6,462.9,1
739,3.6,1356,1
740,3.45,106.8,1
741,2.48,285,1
742,3.6,395,1
743,3.6,27512.7,1
744,3.6,101.1,1
745,2.48,131.8,1
746,2.48,2821.6,1
747,2.48,914.5,1
748,-2.17,2135.6,1
749,-3.87,106.4,1
750,-2.17,150,1
751,-2.17,857.2,1
752,-3.87,692.4,1
753,1.74,203,1
754,1.74,1000,1
755,1.39,684.3,1
756,1.74,329.4,1
757,1.39,150,1
758,1.74,237.4,1
759,1.74,1483.3,1
760,1.74,1705.1,1
761,1.39,251.4,1
762,1.74,151.6,1
763,1.74,561.6,1
764,3.15,165.7,1
765,2.25,703.5,1
766,0.99,14734.3,1
767,0.99,5009,1
768,0.99,289.4,1
769,0.99,3694.4,1
770,0.99,13190,1
771,0.99,660.8,1
772,0.99,200,1
773,2.25,1539,1
774,2.16,110.2,1
775,2.16,111.7,1
776,2.16,30030,1
777,2.25,1001.7,1
778,2.25,4381.8,1
779,2.16,220.5,1
780,2.25,556.3,1
781,2.16,164.8,1
782,2.25,117,1
783,2.01,263.5,1
784,2.81,1535.2,1
785,2.81,297.4,1
786,2.81,555,1
787,2.81,342.7,1
788,2.81,1317.9,1
789,2.81,252.2,1
790,-2.78,182.3,1
791,2.78,240.6,1
792,1.6,150.6,1
793,-1.76,339.7,1
794,-2,1301,1
795,-3.58,245.2,1
796,-3.88,122.3,1
797,-2.39,345.4,1
798,-2.39,981.6,1
799,-2.64,267,1
800,-2.69,127.8,1
801,-2.64,180,1
802,-2.64,1010.6,1
803,-2.64,132.6,1
804,-3.08,342.6,1
805,-3.08,484.5,1
806,-3.08,2435,1
807,-3.08,762.8,1
808,-3.44,47000,1
809,-3.44,3750,1
810,-3.44,383.2,1
811,-3.58,453.5,1
812,-3.58,243.3,1
813,-3.44,966.2,1
814,-3.44,524.1,1
815,-3.58,2586.2,1
816,-3.44,716.1,1
817,-3.44,225,1
818,-3.44,164.2,1
819,-3.44,601.3,1
820,-3.44,1396.3,1
821,-3.44,1448.9,1
822,-3.58,109.1,1
823,-3.44,119.2,1
824,-4.45,170.5,1
825,-3.44,129.8,1
826,-3.44,119.7,1
827,-2.05,103.8,1
828,1.16,470.4,1
829,-3.55,118.5,1
830,-3.55,102.4,1
831,-4.32,119.7,1
832,-3.55,194.2,1
833,-3.55,134.1,1
834,-3.55,133,1
835,-3.9,7599.6,1
836,-4.32,201,1
837,-4.11,1405.7,1
838,-3.9,165.4,1
839,-3.9,358.6,1
840,-4.11,191.7,1
841,-4.11,695.1,1
842,-3.9,413.4,1
843,-3.9,179.1,1
844,-3.9,314.1,1
845,0.78,124.8,1
846,1.18,114.4,1
847,1.18,100.4,1
848,1.18,143,1
849,-1.5,425,1
850,-3.78,174.1,1
851,-3.78,417.7,1
852,-3.78,288.7,1
853,-3.78,5200,1
854,-3.78,538,1
855,-3.78,4334.7,1
856,-3.78,621.6,1
857,-4.04,304.1,1
858,-4.37,251,1
859,-4.04,170,1
860,-4.04,1097.4,1
861,-4.04,270,1
862,-4.04,647.8,1
863,-4.04,158.2,1
864,-4.04,281.2,1
865,-4.04,355.1,1
866,-4.04,258.6,1
867,-4.37,267.6,1
868,-4.04,539.7,1
869,-4.04,172.4,1
870,-4.04,502.6,1
871,0.71,130,1
872,1.04,431.4,1
873,0.71,101.2,1
874,1.04,166.8,1
875,1.04,117.9,1
876,1.04,1102.2,1
877,1.04,141.3,1
878,1.04,110.1,1
879,-3.83,129.5,1
880,-3.83,1626.5,1
881,-3.83,7412,1
882,-3.83,1245.3,1
883,-3.83,171.2,1
884,-3.83,24802.4,1
885,-3.81,18320.5,1
886,-3.81,140,1
887,-3.83,49490,1
888,-3.88,100.4,1
889,-3.88,202,1
890,-3.88,12916,1
891,-3.88,246.3,1
892,-3.81,5693,1
893,-4.15,702.7,1
894,-3.88,527,1
895,-3.88,123.3,1
896,-3.88,272.1,1
897,-4.15,120.1,1
898,-3.88,4101,1
899,-4.15,117.6,1
900,1.14,152.1,1
901,1.27,182.5,1
902,1.14,131.2,1
903,1.27,1197.1,1
904,1.27,1348.5,1
905,0.58,1643.4,1
906,1.8,106.2,1
907,0.58,2083,1
908,1.8,156.5,1
909,0.58,130.9,1
910,0.58,8336.8,1
911,0.58,375,1
912,0.58,1944.4,1
913,-3.58,1055.2,1
914,-4.07,203.5,1
915,-3.58,2481.7,1
916,-3.58,250.9,1
917,-4.07,101,1
918,-3.58,516.6,1
919,1.26,734.2,1
920,1.26,5748.6,1
921,1.26,137.6,1
922,1.26,1151.9,1
923,0.06,478.2,1
924,0.06,6414.4,1
925,0.06,113.1,1
926,-4.05,300.2,1
927,-3.47,43741.2,1
928,-3.47,100.4,1
929,1.19,107.5,1
930,1.19,215.2,1
931,1.19,140.3,1
932,1.37,375.2,1
933,4.15,158,1
934,3.58,110,1
935,5.19,295,1
936,5.07,106.5,1
937,5.07,138.5,1
938,6.25,521.9,1
939,6.25,103.2,1
940,6.84,844.6,1
941,6.84,137.6,1
942,5.81,307.6,1
943,6.84,119,1
944,5.81,296.4,1
945,5.81,345.9,1
946,6.84,250,1
947,6.84,171,1
948,5.81,255.9,1
949,5.81,123,1
950,5.81,335.1,1
951,6.97,909.2,1
952,6.97,147.1,1
953,6.97,172.2,1
954,7.29,191.8,1
955,6.97,130.4,1
956,6.97,1423.9,1
957,7.29,110.9,1
958,6.97,545.8,1
959,7.29,144.6,1
960,6.97,140,1
961,7.29,124.3,1
962,7.45,106.4,1
963,7.06,1843.1,1
964,7.06,7015,1
965,7.06,135.6,1
966,7.29,350.4,1
967,7.45,102.5,1
968,7.45,250.5,1
969,7.06,530.6,1
970,7.06,1413.3,1
971,7.06,386.8,1
972,7.06,504.7,1
973,7.45,333.3,1
974,7.45,2116.5,1
975,7.06,4906.8,1
976,7.06,677.5,1
977,7.06,1001.1,1
978,7.06,102.5,1
979,7.06,882.4,1
980,7.06,1574.7,1
981,7.06,139.8,1
982,6.52,100.3,1
983,6.73,4019.4,1
984,6.73,289,1
985,6.73,6003.2,1
986,6.73,7451.9,1
987,6.73,2076.9,1
988,6.32,1468.9,1
989,6.32,385.4,1
990,6.81,664.9,1
991,6.32,340,1
992,7.21,213.7,1
993,6.81,600,1
994,6.81,172,1
995,6.81,2046.2,1
996,6.32,1379.8,1
997,6.81,248.6,1
998,6.81,342.2,1
999,7.21,2815.3,1
1000,6.81,106,1
1001,6.81,119.9,1
1002,7.21,220.9,1
1003,6.81,568.4,1
1004,6.81,169.3,1
1005,7.21,1337,1
1006,6.81,256.8,1
1007,6.32,3420,1
1008,7.21,216.7,1
1009,6.81,230.3,1
1010,6.08,219,1
1011,6.08,6722.4,1
1012,6.08,102.8,1
1013,6.08,115.3,1
1014,6.08,250.1,1
1015,6.08,115.4,1
1016,6.08,3666,1
1017,4.71,660,1
1018,4.03,297.9,1
1019,4.03,9704.1,1
1020,6.08,2696.6,1
1021,6.24,139.8,1
1022,6.52,100.1,1
1023,6.52,254.5,1
1024,6.52,270.5,1
1025,6.52,100.1,1
1026,-0.01,107,1
1027,6.52,297.4,1
1028,6.52,258.3,1
1029,6.52,126.5,1
1030,6.52,962.7,1
1031,6.52,601.1,1
1032,6.52,303.9,1
1033,-0.01,102.6,1
1034,6.52,343.4,1
1035,6.52,133.5,1
1036,5.7,339.5,1
1037,3.28,301.7,1
1038,3.28,845.9,1
1039,3.28,124.4,1
1040,3.28,255.8,1
1041,-0.34,176.2,1
1042,-0.34,30709,1
1043,-0.34,4000.2,1
1044,-0.21,345.6,1
1045,-0.2,269.6,1
1046,-0.21,211.5,1
1047,-0.21,154.4,1
1048,-0.21,960.3,1
1049,-0.21,12613.7,1
1050,4.88,462.3,1
1051,-0.21,102.2,1
1052,4.88,202.2,1
1053,4.88,157.9,1
1054,-0.38,360.6,1
1055,-0.38,183.3,1
1056,0.28,151.2,1
1057,-0.2,237.4,1
1058,-0.2,250.7,1
1059,-1.1,150,1
1060,-1.08,157.7,1
1061,-1.1,116.5,1
1062,-1.1,446,1
1063,-1.1,275,1
1064,-2.16,200.9,1
1065,-0.29,102,1
1066,-2.16,1000.1,1
1067,-2.24,201.9,1
1068,-0.7,2450,1
1069,0.25,122.5,1
1070,0.25,1189.3,1
1071,-2.07,306,1
1072,-1.71,224.2,1
1073,-2.44,14090,1
1074,0.13,113.3,1
1075,0.34,368.3,1
1076,0.13,150.3,1
1077,0.13,110.6,1
1078,-0.53,350.7,1
1079,-0.7,388,1
1080,-2.64,1125.5,1
1081,-2,217.3,1
1082,-2,600.7,1
1083,-2.64,155.5,1
1084,0.38,854.2,1
1085,0.38,269.1,1
1086,0.38,115.1,1
1087,-2.64,644.2,1
1088,0.69,352.6,1
1089,0.38,418.4,1
1090,0.38,126.2,1
1091,0.38,2212.6,1
1092,0.38,130,1
1093,0.38,132.4,1
1094,0.38,225.2,1
1095,0.38,116.6,1
1096,0.38,290.1,1
1097,0.38,128.9,1
1098,0.38,1014.3,1
1099,-0.74,1427.2,1
1100,-0.74,331.6,1
1101,-0.74,145,1
1102,-2.12,192.2,1
1103,-1.56,356.5,1
1104,-2.12,350,1
1105,-2.12,156.1,1
1106,-2.12,2439,1
1107,-1.56,6624.5,1
1108,-2.12,14537.1,1
1109,0.57,331.8,1
1110,0.57,168.1,1
1111,0.57,187.2,1
1112,0.92,120.3,1
1113,0.57,191.1,1
1114,0.57,114.9,1
1115,0.57,135.1,1
